datum;talsperre;stauraum_mio_m3;inhalt_mio_m3;fuellgrad_pct;quelle
2018-12-01;Obernau;14.9;7.27;48.79;https://www.bra.nrw.de/system/files/media/document/file/18_12_01.pdf
2018-12-15;Breitenbach;7.8;3.6;46.15;https://www.bra.nrw.de/system/files/media/document/file/18_12_15.pdf
2018-12-15;Obernau;14.9;7.5;50.34;https://www.bra.nrw.de/system/files/media/document/file/18_12_15.pdf
2019-01-01;Breitenbach;7.8;4.16;53.33;https://www.bra.nrw.de/system/files/media/document/file/19_01_01.pdf
2019-01-01;Obernau;14.9;8.14;54.63;https://www.bra.nrw.de/system/files/media/document/file/19_01_01.pdf
2019-01-15;Breitenbach;7.8;4.75;60.9;https://www.bra.nrw.de/system/files/media/document/file/19_01_15.pdf
2019-01-15;Obernau;14.9;9.48;63.62;https://www.bra.nrw.de/system/files/media/document/file/19_01_15.pdf
2019-02-01;Breitenbach;7.8;5.26;67.44;https://www.bra.nrw.de/system/files/media/document/file/19_02_01.pdf
2019-02-01;Obernau;14.9;10.01;67.18;https://www.bra.nrw.de/system/files/media/document/file/19_02_01.pdf
2019-02-15;Breitenbach;7.8;5.8;74.36;https://www.bra.nrw.de/system/files/media/document/file/19_02_15.pdf
2019-02-15;Obernau;14.9;10.47;70.27;https://www.bra.nrw.de/system/files/media/document/file/19_02_15.pdf
2019-03-01;Breitenbach;7.8;5.88;75.38;https://www.bra.nrw.de/system/files/media/document/file/19_03_01.pdf
2019-03-01;Obernau;14.9;10.56;70.87;https://www.bra.nrw.de/system/files/media/document/file/19_03_01.pdf
2019-03-15;Breitenbach;7.8;6.25;80.13;https://www.bra.nrw.de/system/files/media/document/file/19_03_15.pdf
2019-03-15;Obernau;14.9;10.93;73.36;https://www.bra.nrw.de/system/files/media/document/file/19_03_15.pdf
2019-04-01;Breitenbach;7.8;6.98;89.49;https://www.bra.nrw.de/system/files/media/document/file/19_04_01.pdf
2019-04-01;Obernau;14.9;12.19;81.81;https://www.bra.nrw.de/system/files/media/document/file/19_04_01.pdf
2019-04-15;Breitenbach;7.8;6.87;88.08;https://www.bra.nrw.de/system/files/media/document/file/19_04_15.pdf
2019-04-15;Obernau;14.9;12.08;81.07;https://www.bra.nrw.de/system/files/media/document/file/19_04_15.pdf
2019-05-01;Breitenbach;7.8;6.65;85.26;https://www.bra.nrw.de/system/files/media/document/file/19_05_01.pdf
2019-05-01;Obernau;14.9;11.81;79.26;https://www.bra.nrw.de/system/files/media/document/file/19_05_01.pdf
2019-05-15;Breitenbach;7.8;6.5;83.33;https://www.bra.nrw.de/system/files/media/document/file/19_05_15.pdf
2019-05-15;Obernau;14.9;11.57;77.65;https://www.bra.nrw.de/system/files/media/document/file/19_05_15.pdf
2019-06-01;Breitenbach;7.8;6.31;80.9;https://www.bra.nrw.de/system/files/media/document/file/19_06_01.pdf
2019-06-01;Obernau;14.9;11.34;76.11;https://www.bra.nrw.de/system/files/media/document/file/19_06_01.pdf
2019-06-15;Breitenbach;7.8;6.12;78.46;https://www.bra.nrw.de/system/files/media/document/file/19_06_15.pdf
