datum;talsperre;fuellgrad_pct;inhalt_mio_m3;quelle
1999-10-01;Breitenbachtalsperre;61.41;4.79;https://web.archive.org/web/20030512130320id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_10_99.html
1999-10-01;Obernautalsperre;71.81;10.7;https://web.archive.org/web/20030512130320id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/01_10_99.html
1999-10-26;Breitenbachtalsperre;60.26;4.7;https://web.archive.org/web/20030513030942id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/26_10_98.html
1999-10-26;Obernautalsperre;68.46;10.2;https://web.archive.org/web/20030513030942id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1998/26_10_98.html
1999-12-15;Breitenbachtalsperre;71.92;5.61;https://web.archive.org/web/20030512131400id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_12_99.html
1999-12-15;Obernautalsperre;74.97;11.17;https://web.archive.org/web/20030512131400id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/1999/15_12_99.html
2000-01-01;Breitenbachtalsperre;82.31;6.42;https://web.archive.org/web/20030512125516id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_01_00.html
2000-01-01;Obernautalsperre;83.15;12.39;https://web.archive.org/web/20030512125516id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_01_00.html
2000-01-15;Breitenbachtalsperre;85.26;6.65;https://web.archive.org/web/20030512131016id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_01_00.html
2000-01-15;Obernautalsperre;88.26;13.15;https://web.archive.org/web/20030512131016id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/15_01_00.html
2000-02-01;Breitenbachtalsperre;86.15;6.72;https://web.archive.org/web/20030512125917id_/http://www.bezreg-arnsberg.nrw.de:80/dieBezirksregierung/aufgabenAufbau/abteilungen/abteilung5/dezernat54/talsperren/fuellstaende/2000/01_02_00.html
